datetime,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precipprob,precipcover,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,apparent_temperature_mean,precipitation_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration,river_discharge,rain_sum,precip
2013-01-01,0.34615384615384615,0.19130434782608696,0.2819383259911894,0.23316062176165803,0.18495297805642635,0.22402597402597396,0.2736318407960198,0.6551724137931033,0.0,0.0,0.0531045751633987,0.8378754171301446,0.709558823529413,0.27655310621242485,0.0462046204620462,0.45414526779163605,0.45106382978723397,0.625,0.19776119402985076,0.0,0.0,0.16052631578947366,0.35483870967741926,0.0017035775127768327,0.0,0.0
2013-02-01,0.34615384615384615,0.23478260869565215,0.3215859030837003,0.23316062176165803,0.21630094043887155,0.2532467532467532,0.3134328358208955,0.6288998357963874,0.0,0.0,0.06045751633986929,0.9276974416017798,0.731617647058826,0.10420841683366733,0.049504950495049514,0.44057226705796043,0.4340425531914894,0.5,0.24253731343283585,0.0,0.0,0.13421052631578947,0.3387096774193548,0.0017035775127768327,0.0,0.0
2013-03-01,0.34615384615384615,0.3869565217391304,0.33920704845814975,0.23316062176165803,0.3260188087774295,0.2662337662337662,0.3582089552238806,0.6584564860426928,1.0,0.0833,0.03839869281045752,0.5244716351501668,0.7610294117647101,0.25851703406813625,0.039603960396039604,0.17021276595744683,0.17021276595744683,0.125,0.2761194029850747,0.0,0.0,0.06315789473684208,0.09824046920821114,0.0017035775127768327,0.0,0.0009546539379474942
2013-04-01,0.34615384615384615,0.3869565217391304,0.37885462555066074,0.23316062176165803,0.3260188087774295,0.29545454545454547,0.44776119402985065,0.7290640394088669,0.0,0.0,0.03839869281045752,0.9413236929922136,0.7536764705882391,0.6122244488977956,0.02970297029702971,0.4317681584739545,0.4297872340425532,0.5,0.2985074626865672,0.0,0.0,0.11842105263157895,0.2697947214076246,0.0017035775127768327,0.0,0.0
2013-05-01,0.34615384615384615,0.34782608695652173,0.33920704845814975,0.23316062176165803,0.2978056426332289,0.2662337662337662,0.3582089552238806,0.6617405582922823,0.0,0.0,0.03839869281045752,0.9171301446051168,0.705882352941174,0.13326653306613226,0.0429042904290429,0.4559794570799706,0.45957446808510644,0.625,0.22761194029850745,0.0,0.0,0.12894736842105264,0.35337243401759527,0.0017035775127768327,0.0,0.0
2013-06-01,0.28846153846153844,0.33043478260869563,0.2819383259911894,0.194300518134715,0.28526645768025083,0.22402597402597396,0.2388059701492537,0.5829228243021346,0.0,0.0,0.06045751633986929,0.9407675194660734,0.7352941176470651,0.0,0.0528052805280528,0.4585473220836391,0.45957446808510644,0.625,0.17910447761194032,0.0,0.0,0.1736842105263158,0.36217008797653955,0.0017035775127768327,0.0,0.0
2013-07-01,0.15384615384615385,0.30434782608695654,0.2422907488986783,0.10362694300518133,0.26645768025078376,0.1948051948051947,0.2388059701492537,0.6190476190476192,0.0,0.0,0.06045751633986929,0.8464961067853171,0.757352941176471,0.5160320641282565,0.049504950495049514,0.4071900220102715,0.40425531914893614,0.5,0.19776119402985076,0.0,0.0,0.09473684210526315,0.18475073313782991,0.0017035775127768327,0.0,0.0
2013-08-01,0.038461538461538436,0.13043478260869562,0.1013215859030836,0.025906735751295318,0.14106583072100315,0.09090909090909088,0.1940298507462686,0.7996715927750412,0.0,0.0,0.11315359477124183,0.8228587319243604,0.808823529411768,0.42384769539078154,0.026402640264026403,0.46515040352164344,0.45957446808510644,0.625,0.06716417910447764,0.0,0.0,0.15,0.33724340175953077,0.0017035775127768327,0.0,0.0
2013-09-01,0.0,0.004347826086956497,0.0,0.0,0.0,0.0,0.11940298507462682,0.8735632183908048,0.0,0.0,0.07516339869281045,0.8197997775305895,0.8235294117647101,0.3897795591182364,0.019801980198019806,0.5025678650036685,0.5021276595744681,0.625,0.0,0.0,0.0,0.15,0.3225806451612903,0.0017035775127768327,0.0,0.0
2013-10-01,0.07692307692307687,0.0,0.03524229074889862,0.05181347150259069,0.047021943573667735,0.042207792207792194,0.16915422885572134,0.8899835796387522,0.0,0.0,0.0457516339869281,0.007508342602892102,0.783088235294116,0.49198396793587174,0.006600660066006604,0.4614820249449743,0.45957446808510644,0.625,0.06716417910447764,0.0,0.0,0.14736842105263157,0.3181818181818181,0.0017035775127768327,0.0,0.0
2013-11-01,0.07692307692307687,0.04347826086956519,0.05726872246696024,0.05181347150259069,0.07836990595611287,0.058441558441558406,0.14427860696517408,0.8193760262725779,0.0,0.0,0.03839869281045752,0.08147942157953282,0.794117647058826,0.3537074148296593,0.019801980198019806,0.4002201027146001,0.39999999999999997,0.5,0.09701492537313433,0.0,0.0,0.1263157894736842,0.28005865102639294,0.0017035775127768327,0.0,0.0
2013-12-01,0.23076923076923084,0.04347826086956519,0.15859030837004395,0.15544041450777196,0.07836990595611287,0.13311688311688308,0.22885572139303484,0.7733990147783251,0.0,0.0,0.0531045751633987,0.8206340378197998,0.801470588235297,0.342685370741483,0.023102310231023097,0.4178283198826119,0.4127659574468086,0.5,0.08208955223880604,0.0,0.0,0.15789473684210528,0.344574780058651,0.0017035775127768327,0.0,0.0
