datetime,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precipprob,precipcover,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,apparent_temperature_mean,precipitation_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration,river_discharge,rain_sum,precip
3/2/13,29.1,16.9,22.2,28.9,16.9,22.2,15,66,0,0,14.8,286.9,1012.8,30,2.6,176.1,15.1,7,20.9,0,0,10.7,3.85,0.28,0,0
4/2/13,28,17,22,27.8,17,22,14.5,64.9,0,0,11.2,301.7,1014.7,2.1,2.9,201.1,17.4,7,20.8,0,0,10.3,3.75,0.28,0,0
5/2/13,28,16.4,22.5,28,16.4,22.5,15.6,67.3,0,0,14.8,15.1,1015.5,7.5,2.8,215.8,18.7,8,21.5,0,0,10,3.97,0.28,0,0
6/2/13,30,17,23.8,29.2,17,23.5,14.7,60.4,0,0,18.4,318.6,1013.6,0,3.1,222.7,19.3,8,22.2,0,0,9.7,4.09,0.28,0,0
7/2/13,30.1,18,23.5,29.2,18,23.5,15.3,61.7,0,0,18.4,297.1,1011.4,18.4,3.2,200,17.5,7,23,0,0,10,3.83,0.28,0,0
8/2/13,30,18.2,23.2,30.8,18.2,23.3,15.9,64.7,0,0,18.4,301.6,1011.8,56.6,3.6,183,15.9,7,22.2,0,0,17.4,3.53,0.28,0,0
9/2/13,28,17.7,22.3,27.6,17.7,22.3,13.4,58.8,0,0,18.4,296.8,1013.1,24.2,3.8,227.2,19.8,8,19.4,0,0,11.6,4.16,0.28,0,0
10/2/13,27,16,21.8,26.7,16,21.8,12.4,57.8,0,0,18.4,302.8,1012.7,0,3.5,243.4,21.2,9,18.6,0,0,11.5,4.24,0.28,0,0
11/2/13,29,17,22.7,28.4,17,22.6,14.2,61.4,0,0,18.4,295.3,1012,2.3,3.3,235.1,20.3,8,20,0,0,9.3,4.12,0.28,0,0
12/2/13,30,12.5,23.2,29.2,12.5,23.2,13.6,56.7,0,0,14.8,304.9,1011.9,46,3.6,210.9,18.4,8,20.9,0,0,9.4,4.35,0.28,0,0
13-02-2013,30,19,24,29.7,19,24,15,59,0,0,11.2,292.1,1011,71.3,3.6,184.9,16.1,7,22,0,0,10.2,4.2,0.28,0,0
14-02-2013,30,19,24,29,19,23.9,14,55.8,0,0,18.4,297.4,1011.2,19.4,3.6,219.2,19,8,21.5,0,0,10.6,4.53,0.28,0,0
15-02-2013,30,18,24,29,18,23.7,13.6,55.5,0,0,18.4,318.4,1011.6,2.2,3.7,239.1,20.7,8,20.9,0,0,10.8,4.68,0.28,0,0
16-02-2013,30,20.5,23.8,29.2,20.5,23.8,15,59.2,0,0,22.3,333.8,1010.6,51.2,3,217.3,18.8,7,21.2,0,0,19.3,4.58,0.28,0,0
17-02-2013,25,19,21.8,25,19,21.8,16.8,73.6,100,29.17,29.5,308.4,1009.6,89.7,2.7,154.1,13.3,7,20.5,8.1,13,16.3,1.53,0.53,8.1,1
18-02-2013,24,17,19.9,24,17,19.9,15.6,77.5,100,41.67,18.4,294,1011.3,63.7,2.1,221.4,19.2,8,19.8,0,0,10.2,2.67,0.53,0,4.7
19-02-2013,28,15.2,21.3,27.6,15.2,21.3,14.4,67.4,0,0,14.8,330,1012.4,28,3,242.9,21,8,19.1,0,0,13.2,4.02,0.44,0,0
20-02-2013,28,16.8,22.1,27.6,16.8,22,13.8,61.4,0,0,18.4,295.9,1012.1,7.2,3.4,243.3,20.9,9,19.4,0,0,12.2,4.25,0.37,0,0
21-02-2013,27,17.9,21.9,27.3,17.9,22,14.6,64.2,0,0,18.4,311.2,1012.1,0,3.4,241.1,20.9,8,20.5,0,0,12.8,4.5,0.34,0,0
22-02-2013,32,19.8,24.3,30.6,19.8,24.1,14.5,56.8,0,0,22.3,324.2,1013.4,0.2,3.9,249.3,21.5,9,21.9,0,0,10.7,4.75,0.31,0,0
23-02-2013,32,19,24.5,32.4,19,24.5,15.8,60.4,0,0,18.4,295.1,1012.3,0,3.7,247.1,21.2,9,22.9,0,0,9.4,4.66,0.31,0,0
24-02-2013,33,19,25.4,32.3,19,25.3,15.4,56.8,0,0,22.3,298.8,1011.9,6.8,3.6,251.9,21.8,9,23.4,0,0,9.8,4.7,0.31,0,0
25-02-2013,32,20.7,25.6,30.3,20.7,25.3,14.5,53.3,0,0,18.4,306.5,1012.3,18.4,3.6,245.4,21.3,9,23.9,0,0,12.8,5.07,0.28,0,0
26-02-2013,33,21,26.1,31.7,21,25.8,14.7,52.4,0,0,24.1,310.5,1013,0,3.8,253.1,21.8,9,24,0,0,12.5,5.16,0.28,0,0
27-02-2013,33.1,20,25.6,32.7,20,25.6,15.5,55.6,0,0,18.4,300.2,1011.2,0,3.9,249.5,21.4,9,23.4,0,0,11.6,5,0.28,0,0
28-02-2013,33,18,25.3,32.6,18,25.2,15,55,0,0,18.4,283.7,1009.6,0.3,3.8,263.1,22.7,9,24,0,0,11,5.02,0.28,0,0
1/3/13,31,19.7,25,30,19.7,24.8,14.2,53.8,0,0,18.4,298.3,1010.8,2.3,4.2,269.7,23.3,9,22.7,0,0,12.5,5.23,0.28,0,0
2/3/13,30,17.7,24.2,28.8,17.7,24,12.8,51.5,0,0,18.4,302.3,1011.7,0,3.9,271.7,23.3,9,22.4,0,0,10.5,5.13,0.31,0,0
3/3/13,32,19,25.1,31,19,24.9,14.7,54.7,0,0,14.8,295.4,1011.6,0,4.1,264.6,22.8,9,23.8,0,0,9.8,4.95,0.31,0,0
4/3/13,33,19,25.7,32.6,19,25.6,15.7,56.8,0,0,14.8,289.8,1012.4,0,3.9,252.8,22,9,24.7,0,0,11,5.11,0.31,0,0
5/3/13,33,17.6,26.4,33,17.6,26.4,16.1,55.6,0,0,14.8,309.9,1013.2,0.8,3.7,263.2,22.8,9,25.1,0,0,10.8,5.06,0.28,0,0
6/3/13,33,19.4,26.1,31,19.4,25.7,14.4,52.8,0,0,14.8,281.1,1012.7,9.5,3.7,240.3,20.7,8,26.1,0,0,10.7,4.95,0.28,0,0
7/3/13,33,20.5,26.4,31.9,20.5,26.2,14.2,50.4,0,0,18.4,344.2,1012.6,1.1,4,258.9,22.2,9,26.5,0,0,10.5,5.2,0.28,0,0
8/3/13,33,20,26.8,31.3,20,26.4,14.2,49.1,0,0,27.7,293.3,1011.7,11.2,3.9,249.3,21.4,9,24.8,0,0,14.1,5.81,0.28,0,0
9/3/13,33,20,26.5,31.3,20,26.1,14.1,49.9,0,0,18.4,278.6,1009.8,0,3.9,244.9,21.2,9,25.5,0,0,11.5,5.22,0.28,0,0
10/3/13,34,20.4,27.2,33.3,20.4,27,15.3,50.6,0,0,14.8,163.1,1008.8,0,4,263.7,23,9,27.3,0,0,9.1,5.16,0.28,0,0
11/3/13,32,23.1,27,32.4,23.1,27.5,18.7,61.6,0,0,18.4,213.7,1009.3,30.5,3.8,244.9,21.3,9,27.8,0,0,11.7,5.1,0.28,0,0
12/3/13,32,23.9,27.4,32.9,23.9,28.9,21.3,70.3,0,0,18.4,194,1008.5,52.3,4.1,234.5,20.1,9,28.9,0,0,12.6,4.56,0.28,0,0
13-03-2013,32,25,27.8,34.9,25,29.6,22,71.7,0,0,14.8,149.7,1010.1,69.4,4,247.7,21.4,9,30.1,0,0,11.4,3.82,0.28,0,0
14-03-2013,33,23.5,28,37.7,23.5,29.5,20.8,67.3,0,0,14.8,198.2,1010.7,74.6,3.4,198.1,17.1,7,30.4,0,0,7.3,4.2,0.28,0,0
15-03-2013,34,25,29.7,35.8,25,31.6,21.1,62,0,0,14.8,278.2,1011.2,80.1,3.8,142.2,12.3,5,31.2,0.4,1,7.8,4.29,0.28,0.4,0
16-03-2013,35,24.9,29.4,36.9,24.9,31.1,20.3,59.1,0,0,18.4,279.3,1012,39,4.2,243.4,21.2,8,30.9,0,0,7.6,5.14,0.28,0,0
17-03-2013,33,23.7,27.9,34.6,23.7,29.1,19.9,64.1,100,29.17,27.7,308.9,1011,59,3.8,244.3,21,8,28.5,0,0,21.1,5.39,0.28,0,5.7
18-03-2013,33,20.8,27.4,33,20.8,27.4,17.5,57.8,100,4.17,18.4,249.5,1008.3,30.2,4.3,282.2,24.2,10,25.6,0,0,12.3,5.22,0.28,0,0.1
19-03-2013,34,22,28.2,32.5,22,28,15.6,50.2,0,0,18.4,209.1,1007.5,29.4,4.4,277.2,24.1,9,27.1,0,0,15.5,5.54,0.28,0,0
20-03-2013,35,21,28.5,34,21,28.5,16.9,53.6,0,0,13,237.6,1008.4,1.5,4.2,271.5,23.4,9,28.9,0,0,11.6,4.97,0.28,0,0
21-03-2013,34,20,28.6,35.8,20,30,20.2,62.4,0,0,14.8,219.6,1006.4,39.7,4.3,273.8,23.6,9,29.8,0,0,13.8,5.12,0.28,0,0
22-03-2013,33,23.6,28.4,37,23.6,30,19.9,60.7,100,33.33,14.8,131.9,1005.2,47.2,3.8,219.9,19,8,29.5,1.6,3,14.7,5.39,0.31,1.6,0.8
23-03-2013,33,23.5,27.8,37,23.5,29.5,21.4,69.5,100,50,18.4,138.7,1007.9,70.8,4.1,244.2,21.2,9,31.6,1.1,3,8.4,4.01,0.31,1.1,3.9
24-03-2013,34,24.9,28.9,39.4,24.9,31.1,21.7,66.3,0,0,18.4,189.7,1008.1,59,4.1,244.7,21.1,9,31.9,0.2,2,12.5,5,0.31,0.2,0
25-03-2013,36,25,30.2,37.4,25,31.9,20.1,57,0,0,18.4,232.5,1004.6,36.7,4.4,265.9,22.9,9,31.7,0,0,12.9,5.89,0.31,0,0
26-03-2013,36,25.5,30.7,35.8,25.5,32.5,19.8,56.2,0,0,22.3,224.8,1004.1,29.5,4.4,275.2,23.9,9,31.5,0,0,15,6.32,0.31,0,0
27-03-2013,35,26.8,30.3,36.9,28.8,32.1,19.3,55.7,0,0,13.5,227.7,1005.8,27,4.3,250.8,21.7,9,30.9,0,0,14.1,5.98,0.31,0,0
28-03-2013,35,24,29.6,36.3,24,30.9,20.1,59.4,0,0,14.8,241,1006.8,37.1,4.1,254.4,22,10,30.3,0,0,9.4,5.67,0.31,0,0
29-03-2013,36,25,29,36.3,25,29.5,18.2,54.8,0,0,22.3,255.8,1006.9,66.2,4.2,267.8,23.2,9,30,0,0,14.5,6.01,0.28,0,0
30-03-2013,35,25.2,29.8,37.9,25.2,31.3,19.6,56.2,0,0,27.7,202.7,1005.2,55.2,4.3,241.1,20.8,9,30.7,0.6,1,17.7,5.9,0.28,0.6,0
31-03-2013,35,25.5,29.4,37.7,25.5,31.7,21,61.8,100,8.33,14.8,170.7,1005.9,55.8,4.3,258.8,22.3,9,32.1,0,0,10.9,5.01,0.28,0,0.2
1/4/13,33,22.2,27.9,38.1,22.2,29.7,21.3,68.1,100,66.67,22.3,167.3,1007.2,45.2,4.1,240.3,20.7,8,33.3,1.4,6,9.8,4.79,0.34,1.4,9.6
2/4/13,34,25,28.8,39.4,25,31.2,22.1,68.3,100,50,18.4,147.8,1007.9,63,4.2,268.2,23.1,9,33.7,1,4,9.8,5.16,0.34,1,2.8
3/4/13,36,24,29.4,42,24,31.5,21.4,64.2,0,0,18.4,180.4,1005.9,64.8,4.4,275.5,23.8,9,34,0,0,10.2,5.63,0.34,0,0
4/4/13,38,26,31.3,39.4,26,33,20,54.6,0,0,29.5,240.3,1001.7,42.5,4.4,287,24.7,10,32.1,0,0,21.8,6.93,0.34,0,0
5/4/13,35,25.7,30.5,36.8,25.7,31.1,15.5,46.9,0,0,22.3,236.3,1002.1,13.3,4.5,303.3,26.2,10,30.3,0,0,15.5,7.12,0.34,0,0
6/4/13,36.1,24.7,29.8,33.3,24.7,29.1,11.5,35.9,0,0,27.7,246.3,1003.4,0,4.4,300.7,26,10,28.3,0,0,15.4,7.4,0.34,0,0
7/4/13,36,24.9,30.4,36.8,24.9,32,18.2,49.6,0,0,18.4,191.7,1003.3,17.9,4.4,292.2,25.2,10,30.7,0,0,13.8,6.42,0.34,0,0
8/4/13,37,25.6,30.7,41.1,25.6,33.9,22.2,62.8,0,0,24.1,187.3,1004,24.1,4.6,289.8,25,10,32.6,0,0,17,5.92,0.34,0,0
9/4/13,37,26.4,31.2,41.1,26.4,34.9,22.4,61.3,0,0,27.7,184.2,1004.7,23.2,4.4,290.4,25.2,10,33.5,0,0,17.2,6.34,0.34,0,0
10/4/13,37,26.8,31,44.5,29.5,35.9,23.6,66,0,0,18.4,181.4,1004.7,33.5,4.4,286.7,24.8,9,33.9,0,0,17.7,6.46,0.34,0,0
11/4/13,35,26.9,30.5,41.9,29.6,35.6,23.9,68.7,0,0,29.5,189.2,1004.9,55.5,4.4,281.7,24.3,9,33.7,0,0,19.5,5.97,0.34,0,0
12/4/13,37,27,31.7,42.1,30.6,37.2,24.1,66.9,0,0,22.3,178.3,1005.8,57,4.3,253.1,21.9,8,34.6,0,0,19.8,6.22,0.31,0,0
13-04-2013,37,26,31.8,43.2,26,35.6,22.4,59.8,0,0,22.3,179.7,1006.7,52.2,4.5,280,24.2,9,34.4,0.7,1,18.8,6.62,0.31,0.7,0
